,tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,tourney_year_id
3903,2014,54,Shenzhen,6967.0,shenzhen,"Shenzhen, China",2014.09.22,9.0,22.0,28,28,Outdoor,Hard,"$655,955",/en/scores/archive/shenzhen/6967/2014/results,Andy Murray,/en/players/andy-murray/mc10/overview,andy-murray,mc10,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513,Horia Tecau,/en/players/horia-tecau/t749/overview,horia-tecau,t749,2014-6967.0
3904,2014,55,Beijing,747.0,beijing,"Beijing, China",2014.09.29,9.0,29.0,32,32,Outdoor,Hard,"$3,755,065",/en/scores/archive/beijing/747/2014/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513,Horia Tecau,/en/players/horia-tecau/t749/overview,horia-tecau,t749,2014-747.0
3905,2014,56,Tokyo,329.0,tokyo,"Tokyo, Japan",2014.09.29,9.0,29.0,32,32,Outdoor,Hard,"$1,373,420",/en/scores/archive/tokyo/329/2014/results,Kei Nishikori,/en/players/kei-nishikori/n552/overview,kei-nishikori,n552,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Michal Przysiezny,/en/players/michal-przysiezny/p701/overview,michal-przysiezny,p701,2014-329.0
3906,2014,57,ATP World Tour Masters 1000 Shanghai,5014.0,shanghai,"Shanghai, China",2014.10.05,10.0,5.0,56,56,Outdoor,Hard,"$6,521,695",/en/scores/archive/shanghai/5014/2014/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589,2014-5014.0
3907,2014,58,Moscow,438.0,moscow,"Moscow, Russia",2014.10.13,10.0,13.0,28,28,Indoor,Hard,"$855,490",/en/scores/archive/moscow/438/2014/results,Marin Cilic,/en/players/marin-cilic/c977/overview,marin-cilic,c977,Frantisek Cermak,/en/players/frantisek-cermak/c445/overview,frantisek-cermak,c445,Jiri Vesely,/en/players/jiri-vesely/v708/overview,jiri-vesely,v708,2014-438.0
3908,2014,59,Stockholm,429.0,stockholm,"Stockholm, Sweden",2014.10.13,10.0,13.0,28,28,Indoor,Hard,"€593,705",/en/scores/archive/stockholm/429/2014/results,Tomas Berdych,/en/players/tomas-berdych/ba47/overview,tomas-berdych,ba47,Eric Butorac,/en/players/eric-butorac/bc35/overview,eric-butorac,bc35,Raven Klaasen,/en/players/raven-klaasen/k609/overview,raven-klaasen,k609,2014-429.0
3909,2014,60,Vienna,337.0,vienna,"Vienna, Austria",2014.10.13,10.0,13.0,28,28,Indoor,Hard,"€593,705",/en/scores/archive/vienna/337/2014/results,Andy Murray,/en/players/andy-murray/mc10/overview,andy-murray,mc10,Jurgen Melzer,/en/players/jurgen-melzer/m762/overview,jurgen-melzer,m762,Philipp Petzschner,/en/players/philipp-petzschner/p624/overview,philipp-petzschner,p624,2014-337.0
3910,2014,61,Basel,328.0,basel,"Basel, Switzerland",2014.10.20,10.0,20.0,32,32,Indoor,Hard,"€1,915,060",/en/scores/archive/basel/328/2014/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Vasek Pospisil,/en/players/vasek-pospisil/pd07/overview,vasek-pospisil,pd07,Nenad Zimonjic,/en/players/nenad-zimonjic/z072/overview,nenad-zimonjic,z072,2014-328.0
3911,2014,62,Valencia,573.0,valencia,"Valencia, Spain",2014.10.20,10.0,20.0,32,32,Indoor,Hard,"€2,204,230",/en/scores/archive/valencia/573/2014/results,Andy Murray,/en/players/andy-murray/mc10/overview,andy-murray,mc10,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513,Horia Tecau,/en/players/horia-tecau/t749/overview,horia-tecau,t749,2014-573.0
3912,2014,63,ATP World Tour Masters 1000 Paris,352.0,paris,"Paris, France",2014.10.27,10.0,27.0,48,48,Indoor,Hard,"€3,452,415",/en/scores/archive/paris/352/2014/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589,2014-352.0
3913,2014,64,ATP Finals,605.0,nitto-atp-finals,"London, Great Britain",2014.11.09,11.0,9.0,8,8,Indoor,Hard,"$6,500,000",/en/scores/archive/nitto-atp-finals/605/2014/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589,2014-605.0
3914,2015,1,Brisbane,339.0,brisbane,"Brisbane, Australia",2015.01.04,1.0,4.0,28,28,Outdoor,Hard,"$494,310",/en/scores/archive/brisbane/339/2015/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Jamie Murray,/en/players/jamie-murray/mc81/overview,jamie-murray,mc81,John Peers,/en/players/john-peers/pc96/overview,john-peers,pc96,2015-339.0
3915,2015,2,Chennai,891.0,chennai,"Chennai, India",2015.01.05,1.0,5.0,28,28,Outdoor,Hard,"$458,400",/en/scores/archive/chennai/891/2015/results,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,w367,Yen-Hsun Lu,/en/players/yen-hsun-lu/l575/overview,yen-hsun-lu,l575,Jonathan Marray,/en/players/jonathan-marray/m983/overview,jonathan-marray,m983,2015-891.0
3916,2015,3,Doha,451.0,doha,"Doha, Qatar",2015.01.05,1.0,5.0,32,32,Outdoor,Hard,"$1,221,320",/en/scores/archive/doha/451/2015/results,David Ferrer,/en/players/david-ferrer/f401/overview,david-ferrer,f401,Juan Monaco,/en/players/juan-monaco/ma21/overview,juan-monaco,ma21,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,2015-451.0
3917,2015,4,Sydney,338.0,sydney,"Sydney, Australia",2015.01.11,1.0,11.0,28,28,Outdoor,Hard,"$494,310",/en/scores/archive/sydney/338/2015/results,Viktor Troicki,/en/players/viktor-troicki/t840/overview,viktor-troicki,t840,Rohan Bopanna,/en/players/rohan-bopanna/b757/overview,rohan-bopanna,b757,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210,2015-338.0
